U.S. Energy Information Administration,,,,,,
06/01/1994,8.77,7.97,4.94,Not Available,7.02,7.16
07/01/1994,8.8,8.05,5.05,Not Available,7,7.36
08/01/1994,8.84,8.08,4.93,Not Available,6.96,7.28
09/01/1994,8.82,8.17,4.93,Not Available,7.27,7.24
10/01/1994,8.56,7.92,4.71,Not Available,6.89,6.9
11/01/1994,8.29,7.51,4.59,Not Available,6.69,6.64
12/01/1994,8.06,7.37,4.57,Not Available,6.6,6.63
01/01/1995,7.85,7.33,4.48,Not Available,6.67,6.6
02/01/1995,8.01,7.49,4.55,Not Available,6.77,6.68
03/01/1995,8.14,7.53,4.53,Not Available,6.8,6.66
04/01/1995,8.41,7.5,4.51,Not Available,6.66,6.65
05/01/1995,8.53,7.64,4.54,Not Available,6.97,6.74
06/01/1995,8.72,7.95,4.82,Not Available,7.13,7.1
07/01/1995,8.8,8.06,4.95,Not Available,7.13,7.35
08/01/1995,8.78,7.95,4.97,Not Available,6.99,7.34
09/01/1995,8.57,7.84,4.79,Not Available,6.88,7.08
10/01/1995,8.65,7.85,4.71,Not Available,7.03,6.95
11/01/1995,8.26,7.6,4.51,Not Available,6.82,6.7
12/01/1995,8.02,7.36,4.48,Not Available,6.7,6.64
01/01/1996,7.75,7.31,4.47,Not Available,6.68,6.61
02/01/1996,7.81,7.39,4.5,Not Available,6.74,6.6
03/01/1996,8.09,7.46,4.49,Not Available,6.83,6.65
04/01/1996,8.24,7.48,4.46,Not Available,6.75,6.63
05/01/1996,8.54,7.62,4.54,Not Available,7.01,6.77
06/01/1996,8.65,7.72,4.73,Not Available,7.25,7.03
07/01/1996,8.73,7.95,4.88,Not Available,7.1,7.27
08/01/1996,8.86,7.99,4.84,Not Available,7.08,7.3
09/01/1996,8.79,7.96,4.78,Not Available,6.92,7.16
10/01/1996,8.67,7.84,4.61,Not Available,7.11,6.91
11/01/1996,8.25,7.52,4.45,Not Available,6.8,6.65
12/01/1996,7.99,7.29,4.38,Not Available,6.63,6.58
01/01/1997,7.87,7.27,4.41,Not Available,6.82,6.62
02/01/1997,7.98,7.38,4.41,Not Available,6.74,6.61
03/01/1997,8.24,7.44,4.41,Not Available,6.98,6.66
04/01/1997,8.38,7.4,4.33,Not Available,6.86,6.59
05/01/1997,8.65,7.58,4.39,Not Available,7,6.72
06/01/1997,8.91,7.88,4.61,Not Available,7.12,7.08
07/01/1997,8.74,7.86,4.82,Not Available,6.83,7.25
08/01/1997,8.8,7.91,4.76,Not Available,7.12,7.23
09/01/1997,8.75,7.86,4.73,Not Available,7.05,7.12
10/01/1997,8.59,7.66,4.61,Not Available,6.9,6.9
11/01/1997,8.25,7.43,4.45,Not Available,6.75,6.65
12/01/1997,8.03,7.24,4.36,Not Available,6.73,6.6
01/01/1998,7.87,7.22,4.36,Not Available,6.34,6.57
02/01/1998,7.97,7.29,4.31,Not Available,6.68,6.52
03/01/1998,8.01,7.28,4.33,Not Available,6.67,6.53
04/01/1998,8.23,7.31,4.3,Not Available,6.68,6.51
05/01/1998,8.49,7.45,4.41,Not Available,6.68,6.67
06/01/1998,8.53,7.61,4.65,Not Available,6.83,6.97
07/01/1998,8.58,7.69,4.85,Not Available,6.85,7.21
08/01/1998,8.57,7.67,4.78,Not Available,6.7,7.14
09/01/1998,8.43,7.55,4.62,Not Available,6.58,6.95
10/01/1998,8.25,7.44,4.42,Not Available,6.75,6.69
11/01/1998,8.04,7.11,4.32,Not Available,6.1,6.39
12/01/1998,7.92,7.11,4.3,Not Available,6.7,6.46
01/01/1999,7.58,6.99,4.28,Not Available,6.35,6.42
02/01/1999,7.92,7.18,4.32,Not Available,6.17,6.5
03/01/1999,7.9,7.15,4.19,Not Available,6.32,6.43
04/01/1999,8.09,7.08,4.24,Not Available,6.32,6.4
05/01/1999,8.27,7.21,4.3,Not Available,6.39,6.5
06/01/1999,8.43,7.42,4.54,Not Available,6.45,6.83
07/01/1999,8.49,7.56,4.8,Not Available,6.45,7.11
08/01/1999,8.42,7.49,4.87,Not Available,6.44,7.08
09/01/1999,8.36,7.45,4.57,Not Available,6.39,6.87
10/01/1999,8.37,7.41,4.47,Not Available,6.49,6.7
11/01/1999,8.09,7.13,4.27,Not Available,6.16,6.39
12/01/1999,7.94,6.88,4.19,Not Available,6.26,6.41
01/01/2000,7.66,6.93,4.31,Not Available,6.2,6.4
02/01/2000,7.71,6.96,4.32,Not Available,6.44,6.39
03/01/2000,8.09,7.03,4.31,Not Available,6.45,6.44
04/01/2000,8.15,7.05,4.32,Not Available,6.74,6.43
05/01/2000,8.34,7.25,4.51,Not Available,6.42,6.64
06/01/2000,8.56,7.7,4.75,Not Available,6.74,7.06
07/01/2000,8.61,7.76,4.95,Not Available,6.65,7.25
08/01/2000,8.63,7.93,5.07,Not Available,6.66,7.34
09/01/2000,8.51,7.73,4.84,Not Available,6.71,7.11
10/01/2000,8.49,7.67,4.74,Not Available,6.66,6.94
11/01/2000,8.15,7.34,4.59,Not Available,6.4,6.66
12/01/2000,7.82,7.52,4.88,Not Available,6.57,6.85
01/01/2001,7.73,7.25,4.75,Not Available,6.48,6.75
02/01/2001,8.04,7.51,4.81,Not Available,6.94,6.87
03/01/2001,8.32,7.7,4.87,Not Available,7.05,7.01
04/01/2001,8.46,7.73,4.87,Not Available,7.04,7.02
05/01/2001,8.83,7.77,5,Not Available,7.14,7.17
06/01/2001,9.07,8.13,5.23,Not Available,7.51,7.58
07/01/2001,9.03,8.41,5.56,Not Available,7.7,7.87
08/01/2001,9.01,8.35,5.49,Not Available,7.58,7.84
09/01/2001,8.92,8.22,5.3,Not Available,7.23,7.62
10/01/2001,8.84,8.27,5.06,Not Available,7.52,7.43
11/01/2001,8.48,7.73,4.78,Not Available,7.1,7.02
12/01/2001,8.29,7.66,4.78,Not Available,6.99,7.03
01/01/2002,8.07,7.49,4.73,Not Available,6.44,6.95
02/01/2002,8.19,7.68,4.76,Not Available,6.67,6.97
03/01/2002,8.17,7.72,4.73,Not Available,6.64,6.95
04/01/2002,8.37,7.68,4.73,Not Available,6.74,6.95
05/01/2002,8.64,7.84,4.78,Not Available,6.8,7.11
06/01/2002,8.73,8.18,5.03,Not Available,6.96,7.45
07/01/2002,8.82,8.33,5.27,Not Available,6.83,7.68
08/01/2002,8.72,8.24,5.15,Not Available,6.78,7.58
09/01/2002,8.59,8,4.98,Not Available,6.73,7.36
10/01/2002,8.47,8,4.91,Not Available,6.75,7.2
11/01/2002,8.31,7.64,4.71,Not Available,6.67,6.94
12/01/2002,8.08,7.59,4.72,Not Available,6.92,6.96
01/01/2003,8,7.45,4.92,7.23,Not Applicable,7
02/01/2003,8.02,7.65,4.99,7.42,Not Applicable,7.05
03/01/2003,8.35,7.78,5.02,7.32,Not Applicable,7.16
04/01/2003,8.82,7.93,4.99,7.61,Not Applicable,7.27
05/01/2003,8.99,8.06,5.06,7.57,Not Applicable,7.42
06/01/2003,9.25,8.44,5.28,7.75,Not Applicable,7.78
07/01/2003,9.21,8.55,5.54,8.01,Not Applicable,8.02
08/01/2003,9.22,8.46,5.48,7.84,Not Applicable,7.97
09/01/2003,8.92,8.15,5.19,7.65,Not Applicable,7.61
10/01/2003,8.85,8.09,5.07,7.63,Not Applicable,7.39
11/01/2003,8.72,7.85,4.86,7.24,Not Applicable,7.19
12/01/2003,8.3,7.7,4.87,7.26,Not Applicable,7.14
01/01/2004,8.24,7.7,5.01,6.62,Not Applicable,7.22
02/01/2004,8.33,7.85,5.04,7.13,Not Applicable,7.25
03/01/2004,8.62,7.92,5.04,6.7,Not Applicable,7.3
04/01/2004,8.93,7.89,5.09,7.16,Not Applicable,7.34
05/01/2004,9.07,7.99,5.18,6.66,Not Applicable,7.46
06/01/2004,9.29,8.49,5.46,7.28,Not Applicable,7.93
07/01/2004,9.36,8.63,5.63,7.84,Not Applicable,8.11
08/01/2004,9.5,8.7,5.65,7.76,Not Applicable,8.18
09/01/2004,9.39,8.54,5.41,7.42,Not Applicable,7.97
10/01/2004,9.05,8.23,5.25,7.32,Not Applicable,7.6
11/01/2004,8.96,8.04,5.09,7.15,Not Applicable,7.42
12/01/2004,8.58,7.82,5.14,7.12,Not Applicable,7.36
01/01/2005,8.52,7.99,5.23,7.91,Not Applicable,7.47
02/01/2005,8.76,8.19,5.26,8.14,Not Applicable,7.58
03/01/2005,8.87,8.15,5.3,8.01,Not Applicable,7.59
04/01/2005,9.22,8.25,5.31,8.3,Not Applicable,7.65
05/01/2005,9.56,8.41,5.42,8.23,Not Applicable,7.84
06/01/2005,9.79,8.89,5.86,8.5,Not Applicable,8.38
07/01/2005,9.77,9,6.14,9.44,Not Applicable,8.6
08/01/2005,9.93,9.1,6.2,9.11,Not Applicable,8.71
09/01/2005,9.94,9.18,6.17,9.25,Not Applicable,8.68
10/01/2005,9.76,8.91,6.03,9.57,Not Applicable,8.37
11/01/2005,9.76,8.79,5.83,8.14,Not Applicable,8.21
12/01/2005,9.27,8.79,5.94,8.23,Not Applicable,8.21
01/01/2006,9.55,8.87,5.78,8.75,Not Applicable,8.31
02/01/2006,9.8,9.14,5.98,9.18,Not Applicable,8.49
03/01/2006,9.87,9.06,5.88,9.06,Not Applicable,8.44
04/01/2006,10.32,9.17,5.93,8.97,Not Applicable,8.56
05/01/2006,10.61,9.22,6,9.12,Not Applicable,8.71
06/01/2006,10.85,9.88,6.41,9.82,Not Applicable,9.3
07/01/2006,10.96,9.97,6.61,10.3,Not Applicable,9.55
08/01/2006,10.94,10.04,6.65,10.2,Not Applicable,9.58
09/01/2006,10.94,9.89,6.37,10.11,Not Applicable,9.32
10/01/2006,10.58,9.51,6.16,10.02,Not Applicable,8.89
11/01/2006,10.18,9.24,6.04,9.4,Not Applicable,8.63
12/01/2006,9.84,9.08,6,9.56,Not Applicable,8.55
01/01/2007,10.06,9.12,6.13,8.92,Not Applicable,8.71
02/01/2007,9.89,9.34,6.16,9.38,Not Applicable,8.74
03/01/2007,10.27,9.35,6.22,11.04,Not Applicable,8.8
04/01/2007,10.63,9.38,6.19,9.42,Not Applicable,8.82
05/01/2007,10.77,9.51,6.27,9.84,Not Applicable,8.96
06/01/2007,11.09,9.95,6.59,9.88,Not Applicable,9.45
07/01/2007,11.07,10.14,6.71,10.57,Not Applicable,9.64
08/01/2007,11.07,10.07,6.84,9.98,Not Applicable,9.68
09/01/2007,10.96,9.9,6.52,9.76,Not Applicable,9.43
10/01/2007,10.82,9.77,6.46,9.61,Not Applicable,9.17
11/01/2007,10.7,9.5,6.28,8.76,Not Applicable,8.94
12/01/2007,10.33,9.42,6.26,9.19,Not Applicable,8.91
01/01/2008,10.14,9.39,6.33,9.52,Not Applicable,8.92
02/01/2008,10.16,9.46,6.34,10.06,Not Applicable,8.9
03/01/2008,10.45,9.62,6.46,10.14,Not Applicable,9.03
04/01/2008,10.93,9.79,6.64,10.06,Not Applicable,9.22
05/01/2008,11.4,10.05,6.75,10.45,Not Applicable,9.47
06/01/2008,11.77,10.87,7.35,11.84,Not Applicable,10.27
07/01/2008,12.07,11.1,7.72,11.8,Not Applicable,10.65
08/01/2008,12.09,11.07,7.55,11.65,Not Applicable,10.59
09/01/2008,11.92,10.77,7.31,11.83,Not Applicable,10.27
10/01/2008,11.81,10.41,7.19,10.49,Not Applicable,9.94
11/01/2008,11.42,10.16,6.93,10.2,Not Applicable,9.67
12/01/2008,10.86,9.92,6.79,10.57,Not Applicable,9.53
01/01/2009,10.98,9.96,6.92,10.37,Not Applicable,9.68
02/01/2009,11.18,10.2,6.9,10.41,Not Applicable,9.78
03/01/2009,11.28,9.96,6.81,10.98,Not Applicable,9.64
04/01/2009,11.5,9.87,6.75,10.29,Not Applicable,9.57
05/01/2009,11.78,10.11,6.77,11.11,Not Applicable,9.77
06/01/2009,11.81,10.46,7.09,10.77,Not Applicable,10.13
07/01/2009,11.85,10.56,7.1,11.01,Not Applicable,10.28
08/01/2009,11.94,10.52,7.1,10.8,Not Applicable,10.27
09/01/2009,11.96,10.45,6.89,10.73,Not Applicable,10.09
10/01/2009,11.65,10.13,6.7,10.39,Not Applicable,9.7
11/01/2009,11.26,9.78,6.4,10.61,Not Applicable,9.34
12/01/2009,10.9,9.7,6.54,10.53,Not Applicable,9.4
01/01/2010,10.49,9.55,6.5,10.19,Not Applicable,9.28
02/01/2010,10.89,9.89,6.55,10.52,Not Applicable,9.47
03/01/2010,11.11,9.95,6.53,10.3,Not Applicable,9.48
04/01/2010,11.71,9.95,6.55,10.54,Not Applicable,9.53
05/01/2010,11.91,10.15,6.64,10.55,Not Applicable,9.72
06/01/2010,11.91,10.56,6.97,11.17,Not Applicable,10.18
07/01/2010,12.04,10.72,7.23,10.97,Not Applicable,10.46
08/01/2010,12.03,10.62,7.22,10.89,Not Applicable,10.4
09/01/2010,11.95,10.52,7,10.54,Not Applicable,10.17
10/01/2010,11.86,10.25,6.8,10.53,Not Applicable,9.81
11/01/2010,11.62,9.99,6.56,10.47,Not Applicable,9.55
12/01/2010,11.06,9.82,6.6,10.08,Not Applicable,9.52
01/01/2011,10.87,9.78,6.53,10.29,Not Applicable,9.48
02/01/2011,11.06,9.99,6.63,10.55,Not Applicable,9.56
03/01/2011,11.52,9.93,6.53,10.24,Not Applicable,9.55
04/01/2011,11.67,9.96,6.53,9.97,Not Applicable,9.54
05/01/2011,11.93,10.19,6.68,10.7,Not Applicable,9.78
06/01/2011,11.97,10.66,7.14,11.01,Not Applicable,10.26
07/01/2011,12.09,10.67,7.32,11.21,Not Applicable,10.47
08/01/2011,12.09,10.72,7.39,10.82,Not Applicable,10.49
09/01/2011,12.17,10.59,7.15,10.8,Not Applicable,10.29
10/01/2011,12.08,10.25,6.77,10.25,Not Applicable,9.83
11/01/2011,11.78,9.98,6.53,9.93,Not Applicable,9.58
12/01/2011,11.4,9.77,6.51,9.79,Not Applicable,9.53
01/01/2012,11.41,9.84,6.44,9.78,Not Applicable,9.61
02/01/2012,11.51,9.94,6.45,9.61,Not Applicable,9.58
03/01/2012,11.7,9.84,6.46,9.95,Not Applicable,9.52
04/01/2012,11.92,9.82,6.38,10.11,Not Applicable,9.47
05/01/2012,11.9,9.96,6.53,9.97,Not Applicable,9.64
06/01/2012,12.09,10.39,6.89,10.33,Not Applicable,10.13
07/01/2012,12,10.39,7.13,10.7,Not Applicable,10.3
08/01/2012,12.17,10.39,7.08,10.53,Not Applicable,10.32
09/01/2012,12.3,10.5,6.97,10.74,Not Applicable,10.26
10/01/2012,12.03,10.08,6.62,10.13,Not Applicable,9.74
11/01/2012,11.75,9.89,6.5,10.41,Not Applicable,9.58
12/01/2012,11.62,9.81,6.52,10.28,Not Applicable,9.64
01/01/2013,11.46,9.77,6.5,10.53,Not Applicable,9.64
02/01/2013,11.63,10.06,6.66,10.56,Not Applicable,9.77
03/01/2013,11.61,10.02,6.64,10.25,Not Applicable,9.71
04/01/2013,11.93,9.96,6.58,10.28,Not Applicable,9.66
05/01/2013,12.4,10.22,6.75,10.5,Not Applicable,9.92
06/01/2013,12.54,10.65,7.25,10.76,Not Applicable,10.45
07/01/2013,12.65,10.7,7.45,10.97,Not Applicable,10.69
08/01/2013,12.53,10.69,7.37,10.77,Not Applicable,10.58
09/01/2013,12.51,10.53,7.22,10.88,Not Applicable,10.43
10/01/2013,12.36,10.28,6.87,10.46,Not Applicable,10.02
11/01/2013,12.1,10.03,6.65,10.49,Not Applicable,9.79
12/01/2013,11.72,9.96,6.66,10.2,Not Applicable,9.86
01/01/2014,11.65,10.35,6.98,10.93,Not Applicable,10.12
02/01/2014,11.94,10.68,7.12,10.41,Not Applicable,10.33
03/01/2014,12.25,10.65,6.99,10.43,Not Applicable,10.28
04/01/2014,12.31,10.46,6.77,10.23,Not Applicable,10
05/01/2014,12.85,10.54,6.83,10.06,Not Applicable,10.21
06/01/2014,12.99,10.96,7.39,10.6,Not Applicable,10.75
07/01/2014,13.09,11.17,7.62,10.68,Not Applicable,11.03
08/01/2014,13.04,11.05,7.51,10.02,Not Applicable,10.91
09/01/2014,12.95,11.16,7.37,11.02,Not Applicable,10.83
10/01/2014,12.6,10.83,7.07,10.27,Not Applicable,10.34
11/01/2014,12.48,10.52,6.75,10.2,Not Applicable,10.13
12/01/2014,12.17,10.36,6.7,10.48,Not Applicable,10.12
01/01/2015,12.1,10.31,6.67,10.45,Not Applicable,10.18
02/01/2015,12.29,10.62,6.88,10.49,Not Applicable,10.36
03/01/2015,12.33,10.63,6.83,10.12,Not Applicable,10.29
04/01/2015,12.62,10.37,6.61,9.76,Not Applicable,10.01
05/01/2015,12.93,10.47,6.74,9.87,Not Applicable,10.21
06/01/2015,12.92,10.89,7.11,10.15,Not Applicable,10.64
07/01/2015,12.94,11.07,7.45,10.34,Not Applicable,10.95
08/01/2015,12.91,10.94,7.35,10.14,Not Applicable,10.85
09/01/2015,13.03,10.98,7.21,10.29,Not Applicable,10.79
10/01/2015,12.72,10.73,6.88,9.91,Not Applicable,10.31
11/01/2015,12.71,10.3,6.61,9.63,Not Applicable,10.05
12/01/2015,12.32,10.13,6.45,9.81,Not Applicable,9.98
01/01/2016,11.99,10.08,6.44,9.52,Not Applicable,9.97
02/01/2016,12.14,10.25,6.42,9.61,Not Applicable,10
03/01/2016,12.56,10.23,6.46,9.56,Not Applicable,10
04/01/2016,12.43,10.19,6.44,9.53,Not Applicable,9.83
05/01/2016,12.79,10.31,6.57,9.28,Not Applicable,10.06
06/01/2016,12.73,10.66,7.03,9.75,Not Applicable,10.52
07/01/2016,12.68,10.68,7.23,9.84,Not Applicable,10.7
08/01/2016,12.88,10.76,7.23,10.04,Not Applicable,10.81
09/01/2016,12.87,10.77,7.14,10,Not Applicable,10.68
10/01/2016,12.46,10.55,6.73,9.62,Not Applicable,10.15
11/01/2016,12.75,10.32,6.66,9.22,Not Applicable,10.1
12/01/2016,12.23,10.17,6.67,9.49,Not Applicable,10.09
01/01/2017,12.21,10.21,6.59,9.39,Not Applicable,10.13
02/01/2017,12.79,10.48,6.63,9.5,Not Applicable,10.28
03/01/2017,12.89,10.46,6.71,9.49,Not Applicable,10.28
04/01/2017,12.72,10.4,6.6,9.46,Not Applicable,10.07
05/01/2017,13.07,10.59,6.78,9.61,Not Applicable,10.34
06/01/2017,13.2,11.01,7.19,10.18,Not Applicable,10.83
07/01/2017,13.08,10.97,7.31,10.12,Not Applicable,10.95
08/01/2017,13.15,11.01,7.22,10.06,Not Applicable,10.91
09/01/2017,13.28,11.03,7.17,9.99,Not Applicable,10.86
10/01/2017,12.8,10.78,6.91,9.57,Not Applicable,10.4
11/01/2017,12.94,10.49,6.73,9.5,Not Applicable,10.28
12/01/2017,12.45,10.28,6.54,9.35,Not Applicable,10.17
01/01/2018,12.22,10.49,6.94,9.39,Not Applicable,10.41
02/01/2018,12.63,10.65,6.78,9.78,Not Applicable,10.42
03/01/2018,12.97,10.51,6.63,9.4,Not Applicable,10.34
04/01/2018,12.88,10.46,6.57,9.47,Not Applicable,10.18
05/01/2018,13.12,10.51,6.8,9.39,Not Applicable,10.35
06/01/2018,13.03,10.84,7.18,10.23,Not Applicable,10.75
07/01/2018,13.13,11,7.32,10.05,Not Applicable,10.99
08/01/2018,13.26,11.03,7.25,9.5,Not Applicable,11.01
09/01/2018,13.01,10.72,7.05,10.05,Not Applicable,10.66
10/01/2018,12.85,10.77,6.88,9.79,Not Applicable,10.41
11/01/2018,12.9,10.54,6.85,9.7,Not Applicable,10.35
12/01/2018,12.43,10.33,6.67,9.71,Not Applicable,10.21
01/01/2019,12.47,10.29,6.58,9.86,Not Applicable,10.29
02/01/2019,12.72,10.52,6.69,10.28,Not Applicable,10.45
03/01/2019,12.85,10.44,6.73,9.28,Not Applicable,10.38
04/01/2019,13.27,10.5,6.51,9.46,Not Applicable,10.29
05/01/2019,13.33,10.53,6.71,9.5,Not Applicable,10.43
06/01/2019,13.34,10.89,6.92,10.04,Not Applicable,10.81
07/01/2019,13.27,11.02,7.18,9.85,Not Applicable,11.05
08/01/2019,13.3,11,7.44,9.71,Not Applicable,11.1
09/01/2019,13.17,10.97,7.09,9.83,Not Applicable,10.88
10/01/2019,12.84,10.74,6.85,9.76,Not Applicable,10.45
11/01/2019,13.04,10.57,6.73,9.56,Not Applicable,10.43
